"adress","rating","nbreviews"
"10 boulevard Delessert, 75016 Paris, France","4","214"
"5 rue Mondetour, 75001 Paris, France","4.5","1076"
"4 rue de Berri, 75008 Paris, France","4","369"
"20 rue Vignon, 75009 Paris, France","4","213"
"155 boulevard Saint Germain, 75006 Paris, France","4","622"
"36 rue Croix des Petits Champs, 75001 Paris, France","4.5","300"
"55 boulevard des Batignolles, 75008 Paris, France","4.5","116"
"4 rue d Amsterdam, 75009 Paris, France","3.5","116"
"53 rue de Rivoli, 75001 Paris, France","2.5","377"
"44 rue Dauphine, 75006 Paris, France","4.5","301"
"59 rue du Montparnasse, 75014 Paris, France","4","480"
"46 avenue de Wagram, 75008 Paris, France","3.5","345"
"Port du Suffren | 75007, Paris, France","3","207"
"30 rue d Aligre, 75012 Paris, France","4","231"
"37 B rue de Montpensier | en face du jardin du Palais Royal, 75001 Paris, France","4.5","147"
"17 rue des Petits Carreaux | 75002, 75002 Paris, France","4","283"
"10 rue de Constantinople, 75008 Paris, France","3.5","188"
"11 rue de la Huchette, 75005 Paris, France","4","904"
"6 rue Saint Severin, 75005 Paris, France","4","842"
"74 rue des Gravilliers, 75003 Paris, France","4.5","232"
"19 avenue de l Opera, 75001 Paris, France","3","589"
"15 Place Richard Baret, 75017 Paris, France","4.5","191"
"44 boulevard de Menilmontant, 75020 Paris, France","4","172"
"73 rue Saint Maur, 75011 Paris, France","4.5","100"
"43 avenue du Maine, 75014 Paris, France","4","611"
"29 rue des Saints Peres | à l'angle de la rue des Saints-Pères et de la rue Jacob, 75006 Paris, France","3.5","193"
"6 rue du Marche Saint Honore, 75001 Paris, France","3.5","176"
"6 rue Jean du Bellay, 75004 Paris, France","4","1838"
"110 rue Lauriston | 75116, 75116 Paris, France","4","254"
"68 rue Jean Jacques Rousseau | 75001, 75001 Paris, France","4.5","398"
"195 avenue de Choisy | Place Italie, Paris 13, 75013 Paris, France","4","791"
"9 boulevard Edgar Quinet, 75014 Paris, France","4","242"
"41 boulevard Saint Jacques | Montparnasse, 75014 Paris, France","4.5","660"
"123 avenue de Wagram, 75017 Paris, France","4","189"
"6 Place du Marche Sainte Catherine, 75004 Paris, France","3.5","299"
"28 avenue Franklin Delano Roosevelt | 75008, 75008 Paris, France","4","131"
"23 rue Mazarine, 75006 Paris, France","4","207"
"38 avenue de Suffren, 75015 Paris, France","4","781"
"42 rue Veron, 75018 Paris, France","4.5","1329"
"109 rue Saint Martin, 75004 Paris, France","2","108"
"7, Avenue d_Eylau, 75016 Paris, France","4","627"
"20 rue du Louvre, 75001 Paris, France","4","1000"
"127 avenue de Clichy, 75017 Paris, France","3.5","154"
"2 avenue de Lowendal | 75007, 75007 Paris, France","4","357"
"64 rue de Longchamp, 75116 Paris, France","3.5","66"
"16 rue Saint Augustin, 75002 Paris, France","2.5","122"
"20 rue de la Fontaine du But | Metro Lamarck Caulaincourt, 75018 Paris, France","4","151"
"34 rue des Vinaigriers, 75010 Paris, France","4","195"
"126 boulevard de Magenta, 75010 Paris, France","3.5","239"
"3 T rue Marcadet, 75018 Paris, France","4","120"
"4 Place Victor Hugo | 75016, 75116 Paris, France (Formerly Cafe Le Victor Hugo)","3.5","267"
"32 B rue d Orsel | Au PIED du SACRE COEUR ,MONTMARTRE, TRIANON, théatre l'atelier, 75018 Paris, France","4.5","1368"
"1 rue Scribe | Hotel Scribe Paris Opera by Sofitel, 75009 Paris, France","4","218"
"114 boulevard Haussmann, 75008 Paris, France","3","361"
"2 rue de l Universite | Saint Germain des Près, 75007 Paris, France","4.5","507"
"7 rue de Jarente, 75004 Paris, France","4","585"
"67 rue de Rennes | Métro Saint Sulpice, 75006 Paris, France","3","164"
"46 rue de Sevres, 75007 Paris, France","4","121"
"22 rue Saint Martin, 75004 Paris, France","4.5","294"
"53 rue Pierre Charron, 75008 Paris, France","4","436"
"3 rue Quentin Bauchart, 75008 Paris, France","4.5","228"
"12-14 rue de Rome, 75008 Paris, France","3.5","663"
"75007 Paris, France (Formerly 2 Place de l'Ecole Militaire)","4","74"
"18 rue Mayet, 75006 Paris, France","4.5","164"
"87 rue Saint Antoine, 75004 Paris, France","3.5","338"
"1 rue de la Harpe, 75005 Paris, France","4","272"
"22 rue du Faubourg Saint Martin, 75010 Paris, France","4.5","282"
"31 boulevard Beaumarchais | Bastille/Marais, 75004 Paris, France","4.5","331"
"144 rue Mouffetard, 75005 Paris, France","4","494"
"39 rue de Bretagne | Marche des Enfants Rouge, 75003 Paris, France","4","120"
"129 boulevard Diderot, 75012 Paris, France","4","231"
"118 avenue Victor Hugo, 75116 Paris, France","3.5","181"
"4 rue de la Corderie | Le Marais, 75003 Paris, France","4.5","281"
"6 avenue George V, 75008 Paris, France","3","362"
"18 rue Lauriston, 75116 Paris, France","4","347"
"18 rue Oberkampf, 75011 Paris, France","4.5","196"
"10 rue des Halles, 75001 Paris, France","4","192"
"65 boulevard Malesherbes, 75008 Paris, France","4","101"
"7 rue du Mont Thabor, 75001 Paris, France","4.5","82"
"81 rue de Rennes, 75006 Paris, France","5","4"
"50 rue Saint Andre des Arts, 75006 Paris, France (Formerly Malongo)","4","161"
"7 rue Tardieu | Montmartre, 75018 Paris, France","3","155"
"7 rue Antoine Vollon, 75012 Paris, France","4.5","441"
"40 rue Gregoire de Tours, 75006 Paris, France","4","136"
"2 rue de Hanovre, 75002 Paris, France","4","162"
"22 rue des Martyrs, 75009 Paris, France","3","290"
"16 rue Littre, 75006 Paris, France","4.5","686"
"96 rue Monge, 75005 Paris, France","4","137"
"56 B rue de Clichy, 75009 Paris, France","3.5","123"
"28 boulevard Voltaire, 75011 Paris, France","4","87"
"22 rue au Maire, 75003 Paris, France","4.5","91"
"29 avenue du Maine, 75015 Paris, France","4.5","249"
"5 boulevard de Vaugirard, 75015 Paris, France","3","127"
"50 rue du Faubourg Saint Denis, 75010 Paris, France","4","677"
"25 avenue Duquesne, 75007 Paris, France","4.5","233"
"250 rue du Faubourg Saint Antoine, 75012 Paris, France","4.5","411"
"94 rue du Temple, 75003 Paris, France","4.5","331"
"7 avenue de l Opera, 75001 Paris, France","4","126"
"117 avenue Mozart, 75016 Paris, France","4.5","54"
"11 Rue Breguet | Angle 9 Rue Boule, 75011 Paris, France","4","391"
"34 rue Saint Dominique, 75007 Paris, France","4.5","328"
"69 rue du Bac, 75007 Paris, France","4.5","120"
"60 Bis rue des Entrepreneurs, 75015 Paris, France","4.5","55"
"18 Rue de Buci 75006, 75006 Paris, France","4.5","152"
"33 rue Lamarck, 75018 Paris, France","4.5","377"
"41 rue Alain Chartier, 75015 Paris, France","3.5","22"
"15 rue Marbeuf, 75008 Paris, France","4","1245"
"10 rue du Marche Saint Honore, 75001 Paris, France","3","113"
"28 rue de Moscou, 75008 Paris, France","4","102"
"17 rue d Avron, 75020 Paris, France","4.5","137"
"19 Rue de Vaugirard, 75006 Paris, France","4","315"
"56 rue Saint Andre des Arts, 75006 Paris, France","3.5","91"
"1 quai aux Fleurs, 75004 Paris, France","4.5","63"
"Terminal 2 Area F2 | Charles de Gaulle Airport, Paris, France","3","43"
"Rue Rambueau, 75003 Paris, France","3.5","36"
"23 avenue Duquesne, 75007 Paris, France","4","143"
"22 avenue Rapp, 75007 Paris, France","4","72"
"22 rue de Chabrol, 75010 Paris, France","4.5","112"
"9 rue des Petits Champs, 75001 Paris, France","4","114"
"42 rue des Vignoles, 75020 Paris, France","4","119"
"85 boulevard de Magenta, 75010 Paris, France","4","78"
"1 rue Frochot, 75009 Paris, France","3.5","185"
"37 rue de Bretagne, 75003 Paris, France","3.5","127"
"88 avenue du Maine, 75014 Paris, France","3.5","148"
"21 rue de la Huchette, 75005 Paris, France","3.5","301"
"32 rue Cler, 75007 Paris, France","4","284"
"78 avenue des Ternes | 75017, 75017 Paris, France","4","34"
"6 avenue du Mahatma Gandhi | Jardin d'Acclimatation, 75116 Paris, France","3.5","152"
"96 rue des Martyrs, 75018 Paris, France","4.5","713"
"6 rue Paul Bert, 75011 Paris, France","4","367"
"14 rue Pavee, 75004 Paris, France","4","997"
"53 rue du Ruisseau, 75018 Paris, France","3.5","29"
"5 rue Sainte Beuve, 75006 Paris, France","4.5","876"
"232 boulevard Raspail | 75014, 75014 Paris, France","3.5","188"
"49 avenue George V, 75008 Paris, France","4","2044"
"78 rue Vieille du Temple, 75003 Paris, France","3","173"
"43 rue Godefroy Cavaignac, 75011 Paris, France (Formerly Bones)","4","226"
"74 rue de Metz, 62520 Le Touquet – Paris-Plage, France","4","382"
"3 Place Lachambeaudie, 75012 Paris, France","4","750"
"16 rue Commines | Le marais, cirque d'hiver, bastille, république, 75003 Paris, France","4.5","586"
"8 rue Boutebrie, 75005 Paris, France","4.5","483"
"27 rue Violet | 75015, 75015 Paris, France","4.5","195"
"28 rue Marbeuf, 75008 Paris, France","4","635"
"4 avenue Carnot, 75017 Paris, France","4.5","351"
"60 rue Charlot, 75003 Paris, France","4.5","393"
"Boulevard du Temple, 75003 Paris, France","4","108"
"8 rue de Rome | Hilton Paris Charles de Gaulle Airport, 93290 Tremblay-En-France, France","3.5","60"
"Montmartre 3 Place du Tertre | This place has amazing Jazz Manouche players every night. It is not about the food., 75018 Paris, France","2","1242"
"57 boulevard du Montparnasse, 75006 Paris, France","3","584"
"120 rue de Rennes, 75006 Paris, France","3.5","172"
"8 B rue Falguiere, 75015 Paris, France","4","41"
"20 rue du 4 Septembre | 20 Rue Du 4 Septembre, 75002 Paris, France","3","154"
"82 boulevard Haussmann, 75008 Paris, France","3","107"
"28 rue de l Abbe Gregoire | 75006, 75006 Paris, France","4.5","57"
"96 rue Raymond Losserand, 75014 Paris, France","4","122"
"167 rue Saint Denis, 75002 Paris, France","4","467"
"213 boulevard Saint Germain, 75007 Paris, France","4","204"
"Terminal 2F, Charles de Gaulles Airport, Paris, France","3.5","173"
"8 rue la Fayette, 75009 Paris, France","3.5","86"
"51 rue du Temple | Metro Ligne 1 - Station Hotel de Ville, Metro Ligne 11 - Station Rambuteau, 75004 Paris, France","4.5","883"
"39 avenue Duquesne, 75007 Paris, France (Formerly BMA - Le Bistrot de Maelle et Augustin)","4","532"
"17 rue de la Huchette, 75005 Paris, France","3.5","214"
"Rue de la Briqueterie & Rue Raymond Losserand, Paris, France","4.5","5"
"6 rue du Sabot, 75006 Paris, France","4.5","675"
"15 rue Montmartre, 75001 Paris, France","4.5","183"
"Place du Marche St Honore, Paris, France","4","135"
"7 rue du Conservatoire | Hotel de Nell, 75009 Paris, France (Formerly La Régalade Conservatoire)","4.5","926"
"1 rue des Francs Bourgeois, 75004 Paris, France","4.5","96"
"92 rue du Faubourg Poissonniere, 75010 Paris, France","4.5","380"
"144 rue de la Pompe, 75116 Paris, France","4.5","29"
"77 rue Raymond Losserand, 75014 Paris, France","4","35"
"21 rue Mademoiselle, 75015 Paris, France","4.5","294"
"15 B boulevard Victor, 75015 Paris, France","3","77"
"77 rue Saint Dominique, 75007 Paris, France","4","167"
"Avenue Georges 5, Paris, France","3.5","97"
"20 rue Bachelet, 75018 Paris, France","4.5","631"
"39 avenue Marceau | 75116 Paris, 75116 Paris, France","3.5","248"
"71 rue Saint Jacques, 75005 Paris, France","4.5","540"
"21 rue Viala, 75015 Paris, France","4.5","258"
"271 avenue Daumesnil, 75012 Paris, France","3","84"
"41 rue Coquilliere, 75001 Paris, France","4","199"
"20 avenue de New York | Palais de Tokyo, 75116 Paris, France","4","1827"
"41 rue de Lille, 75007 Paris, France","4.5","849"
"30 avenue de la Porte de Choisy | 75013, 75013 Paris, France","4.5","47"
"1 rue Benjamin Franklin | 75016, 75116 Paris, France","3","121"
"6 avenue Parmentier, 75011 Paris, France","4","86"
"63 rue de Turbigo, 75003 Paris, France","4.5","160"
"53 avenue du Dr Arnold Netter, 75012 Paris, France","4","118"
"73 rue des Archives | 75003, 75003 Paris, France","4.5","191"
"74 boulevard de Strasbourg | Metro Gare de l'Est, 75010 Paris, France","4.5","435"
"17 rue Claude Tillier, 75012 Paris, France","4.5","274"
"Paris Charles de Gaulle Airport, 93290 Tremblay-En-France, France","2.5","417"
"2 rue Lepic, 75018 Paris, France","4","108"
"50 rue Broca, 75005 Paris, France","4.5","175"
"253 avenue Daumesnil, 75012 Paris, France","4","199"
"237 boulevard Saint Germain, 75007 Paris, France","3.5","157"
"27 boulevard des Italiens, 75002 Paris, France","3","353"
"35 boulevard Haussmann | 75009, 75009 Paris, France","4","845"
"3 rue de Turbigo, 75001 Paris, France","3.5","457"
"77 rue Galande, 75005 Paris, France","4.5","363"
"3 Place de la Contrescarpe, 75005 Paris, France","3.5","231"
"4 rue Tardieu, 75018 Paris, France","4","116"
"29 rue de l Annonciation, 75016 Paris, France","4.5","435"
"59 boulevard Saint Jacques, 75014 Paris, France","4","239"
"81 Boulevard Gouvion-Saint-Cyr | Le Méridien Etoile, 75017 Paris, France","4","218"
"5 rue Sedaine, 75011 Paris, France","4","412"
"108 rue Lepic, 75018 Paris, France","4.5","1027"
"24 rue Saint Lazare, 75009 Paris, France","5","186"
"13 rue du Faubourg Montmartre, 75009 Paris, France","4","382"
"19 rue Tronchet | 75008, 75008 Paris, France","3","140"
"56 boulevard du Montparnasse, 75015 Paris, France","3.5","48"
"10 avenue des Champs Elysees, 75008 Paris, France","4","87"
"27 rue de l Abbe Gregoire, 75006 Paris, France","4.5","132"
"30 rue de Longchamp, 75116 Paris, France","5","2667"
"10 B rue Servandoni, 75006 Paris, France","4.5","41"
"41 rue Ste Croix de la Bretonnerie, 75004 Paris, France","4","264"
"6 rue Stanislas | 75006, 75006 Paris, France","3.5","15"
"31 rue Pelleport, 75020 Paris, France","4","151"
"32 avenue Carnot, 75017 Paris, France","3.5","79"
"61 rue de Rome, 75008 Paris, France","3.5","31"
"18 rue Amelie | Metro la Tour-Maubourg Line 8, 75007 Paris, France","4.5","594"
"22 rue des Saints-Peres, 75007 Paris, France","4.5","78"
"23 rue des Saints Peres, 75006 Paris, France","4","29"
"Rue de l'Arcade, 75008 Paris, France","4.5","111"
"2 Place Sainte Opportune, 75001 Paris, France","4","86"
"34 rue de Bourgogne, 75007 Paris, France","4","81"
"62 rue Monsieur le Prince, 75006 Paris, France","4.5","88"
"22 Rue Ripp, 75007 Paris, France","4","36"
"178 rue du Faubourg Saint Denis, 75010 Paris, France","4","405"
"35 rue des Abbesses, 75018 Paris, France","3.5","280"
"14 rue Bachaumont, 75002 Paris, France","4","658"
"21 rue Mederic, 75017 Paris, France","4.5","82"
"12 Monsieur le Prince 75006, 75006 Paris, France","4","333"
"1 rue de la Gaite, 75014 Paris, France","3.5","139"
"81 rue Lecourbe, 75015 Paris, France","4","149"
"13 rue Guisarde, 75006 Paris, France","4.5","1036"
"32 rue Saint Paul, 75004 Paris, France","4","267"
"8 rue de Nevers, 75006 Paris, France","4","99"
"16 rue du Parc Royal, 75003 Paris, France","3","213"
"16 avenue de Friedland, 75008 Paris, France","3.5","175"
"128 rue de Paris, 60000 Beauvais, France","4.5","288"
"18 rue du Bac | Musée d'Orsay, 75007 Paris, France","4","696"
"68 rue la Fayette, 75009 Paris, France","3.5","201"
"11 rue d Armaille, 75017 Paris, France","4.5","149"
"46 rue Pasquier, 75008 Paris, France","3.5","107"
"32 rue des Carmes, 75005 Paris, France","4.5","48"
"10th 56 rue du Faubourg Saint Denis, 75010 Paris, France","4.5","294"
"3 rue Etienne Marcel, 75001 Paris, France","4.5","319"
"4 rue de l Echelle, 75001 Paris, France","4","246"
"81 rue de Bagnolet, 75020 Paris, France","4.5","148"
"Rue Interieure | Forecourt of the station Saint lazare, 75008 Paris, France","4","1794"
"Rue de la Gaite, Paris, France","4","14"
"17 boulevard Montmartre, 75002 Paris, France","2.5","137"
"41 rue Guersant, 75017 Paris, France","4.5","125"
"90 rue Saint Dominique, 75007 Paris, France","3","65"
"12 Place D Italie, 75013 Paris, France","3","257"
"44 boulevard Saint Germain, 75005 Paris, France","4","538"
"12 rue Biot, 75017 Paris, France","4","285"
"16 rue Charlemagne, 75004 Paris, France","4.5","503"
"12 rue Perree, 75003 Paris, France","4","56"
"75 avenue des Champs Elysees, 75008 Paris, France","4","4193"
"41 rue Pierre Fontaine, 75009 Paris, France","4.5","727"
"13 quai des Grands Augustins, 75006 Paris, France","4","177"
"12 rue Monge, 75005 Paris, France","4.5","294"
"36 rue des Boulangers, 75005 Paris, France","4.5","209"
"40 rue Chapon, 75003 Paris, France","4","120"
"47 rue de Laborde, 75008 Paris, France","4.5","741"
"5 rue des Petits Carreaux, 75002 Paris, France","3.5","137"
"161 boulevard du Montparnasse, 75006 Paris, France","4.5","84"
"63 rue de l Amiral Mouchez, 75013 Paris, France","4.5","53"
"120 avenue des Champs Elysees, 75008 Paris, France","3.5","1135"
"65 rue du Mont Cenis, 75018 Paris, France","4","130"
"11 rue Civiale, 75010 Paris, France","4.5","179"
"14 Rue du Bouquet de Longchamp, 75116 Paris, France","4.5","344"
"79 avenue Bosquet, 75007 Paris, France","4.5","478"
"31 rue Guillaume Tell, 75017 Paris, France","4.5","345"
"75 B rue Monge, 75005 Paris, France","3.5","71"
"125 boulevard Bessieres, 75017 Paris, France","3.5","79"
"61 avenue de la Motte Picquet, 75015 Paris, France","5","8"
"69 boulevard Voltaire, 75011 Paris, France","4","5"
"26 rue de Monttessuy, 75007 Paris, France","4","206"
"7 rue Mademoiselle, 75015 Paris, France","4.5","580"
"79 rue de Varenne, 75007 Paris, France","4","101"
"9 rue du Nil, 75002 Paris, France","4","491"
"74 avenue de France, 75013 Paris, France","2.5","186"
"10 rue de la Victoire, 75009 Paris, France","4","302"
"6 boulevard des Invalides, 75007 Paris, France","3.5","44"
"15 rue de Babylone, 75007 Paris, France","3.5","243"
"13 rue du Bac, 75007 Paris, France","3.5","92"
"5 rue Michel Chasles, 75012 Paris, France","4","531"
"14 rue Francoeur | Quartier Montmartre, 75018 Paris, France","4.5","417"
"4 rue Rampon, 75011 Paris, France","3.5","162"
"12 rue Jean du Bellay, 75004 Paris, France","4.5","149"
"2 rue de l Echelle, 75001 Paris, France","4","314"
"24 quai du Louvre | 24 Quai du Louvre, 75001 Paris, France","4.5","305"
"34 quai D Austerlitz, 75013 Paris, France","3","138"
"22 rue de la Gaite, 75014 Paris, France","4","258"
"130 boulevard de Belleville, 75020 Paris, France","3","57"
"5 rue Froment, 75011 Paris, France","4.5","431"
"26 avenue Daumesnil | 75012, 75012 Paris, France","4.5","19"
"48 avenue de New York | ., 75116 Paris, France","4.5","475"
"22 rue des Ecouffes, 75004 Paris, France","4","807"
"33 rue de Constantinople, 75008 Paris, France","4.5","296"
"7 rue Cadet, 75009 Paris, France","4.5","619"
"19 rue Ste Croix de la Bretonnerie, 75004 Paris, France","4","1269"
"4 boulevard de Grenelle, 75015 Paris, France","2.5","258"
"1 rue Volney, 75002 Paris, France","4","16"
"7 rue d Edimbourg, 75008 Paris, France","4.5","271"
"91 avenue de Wagram, 75017 Paris, France","3.5","39"
"77 rue Dunois, 75013 Paris, France","4.5","3"
"5 rue Lucien Sampaix, 75010 Paris, France","4.5","1251"
"72 avenue de la Republique, 38170 Seyssinet-Pariset, France","4","43"
"28 rue Henry Monnier, 75009 Paris, France","4","464"
"8 rue Beaugrenelle, 75015 Paris, France","4","204"
"55 rue des Archives, 75003 Paris, France","4.5","1187"
"20 rue de l ouest, 75014 Paris, France","4.5","161"
"7 rue Simon le Franc, 75004 Paris, France","3","114"
"51 Rue des Ecoles, 75005 Paris, France","4.5","683"
"17 rue du 8 Mai 1945, 75010 Paris, France","3","100"
"7 rue de la Harpe | 75005, 75005 Paris, France","4.5","369"
"30 rue Saint Sauveur, 75002 Paris, France","4.5","344"
"7 rue Chauveau Lagarde, 75008 Paris, France","4.5","147"
"rue du Faubourg Saint Denis, 75010 Paris, France","4.5","814"
"31 rue Lepic, 75018 Paris, France","4","411"
"13 rue de Medicis | Numero de la Suite, Intersection, Place, 75006 Paris, France","4.5","718"
"15 rue d Enghien, 75010 Paris, France","4.5","36"
"28 boulevard Beaumarchais, 75011 Paris, France","4.5","67"
"38 avenue de Friedland, 75008 Paris, France","4","73"
"11 rue du Chevalier de Saint George, 75008 Paris, France","4.5","453"
"18 rue Mouffetard, 75005 Paris, France","4","75"
"30 rue des 5 Diamants, 75013 Paris, France","4","1105"
"109 rue du Faubourg Poissonniere, 75009 Paris, France","4","319"
"1 boulevard Saint Jacques, 75014 Paris, France","4","147"
"34 rue Etienne Marcel, 75002 Paris, France","4","17"
"74 rue des Archives | Dans le Marais, proche du Centre Pompidou, du Musée Picasso et du Musée de la Chasse et de la Nature, 75003 Paris, France","4.5","525"
"48 rue Linois, 75015 Paris, France","3","69"
"238 rue de la Convention, 75015 Paris, France","4","101"
"8 Place du 18 Juin 1940 | Au croisement de la rue de Rennes, 75006 Paris, France","4","128"
"13 rue Saint Hippolyte, 75013 Paris, France","4.5","448"
"80 rue de Charonne, 75011 Paris, France","4","464"
"39 avenue des Champs Elysees, 75008 Paris, France","3.5","2009"
"49 rue Laugier, 75017 Paris, France","4.5","118"
"25 avenue Paul Doumer | 25 Avenue Paul Doumer, 75016, Paris, Île-de-France, 75116 Paris, France","3.5","34"
"12 rue Jean du Bellay, 75004 Paris, France","4.5","102"
"86 avenue Kleber, 75116 Paris, France","4","50"
"78 rue d_Auteuil, 75016 Paris, France (Formerly Brasserie Auteuil)","3","1186"
"187 rue du Faubourg Saint Martin, 75010 Paris, France","4","142"
"9 rue des Precheurs | 14 Rue Pierre Lescot, 75001 Paris, France","4.5","355"
"13 rue de la Pierre Levee, 75011 Paris, France (Formerly BLUE VALENTINE)","4.5","299"
"151 B rue Cardinet | 151 Bis rue Cardinet, 75017 Paris, France","4.5","709"
"12 avenue des Ternes, 75017 Paris, France","3.5","265"
"2 rue de l Amiral Coligny, 75001 Paris, France","4.5","7"
"29 rue Surcouf, 75007 Paris, France","4.5","770"
"14 rue Bochart de Saron | Pas de Reservations, 75009 Paris, France","4","40"
"1 rue Daunou, 75002 Paris, France","3.5","168"
"181 avenue Jean Jaures | Near Cite de Sciences, 75019 Paris, France","4.5","214"
"27 avenue du Maine, 75015 Paris, France","4.5","490"
"42 rue des Vinaigriers | intersection Rue Lucien Sampaix, 75010 Paris, France","4.5","285"
"24 Rue du Faubourg Montmartre, 75009 Paris, France","4.5","560"
"42 B avenue de Suffren, 75015 Paris, France","4.5","663"
"61 rue Saint Andre des Arts, 75006 Paris, France","4","61"
"9 rue Mandar | 9 Rue Mandar, 75002 Paris, France","4","343"
"1 rue du Faubourg Saint Antoine, 75011 Paris, France","3.5","199"
"18 rue Brey, 75017 Paris, France","4","49"
"102 boulevard de Clichy, 75018 Paris, France","4.5","716"
"47 rue Saint Maur, 75011 Paris, France","4","257"
"10 rue du Nil, 75002 Paris, France","4.5","43"
"34 boulevard Saint Germain, 75005 Paris, France","4.5","444"
"16 rue Saint Martin, 75004 Paris, France","4","137"
"17 rue Xavier Privas, 75005 Paris, France","4","323"
"51 boulevard du Montparnasse, 75006 Paris, France","3.5","220"
"108 rue Saint Dominique, 75007 Paris, France","4.5","455"
"9 rue Jacques Coeur, 75004 Paris, France","3.5","237"
"2 rue de la Pepiniere, 75008 Paris, France","4","189"
"38 rue Boyer, 75020 Paris, France","4.5","136"
"4 rue Jean Jacques Rousseau, 75001 Paris, France","4.5","39"
"2 rue du Nil | Entrée par 3 Rue Damiette, 75002 Paris, France","4.5","346"
"73 avenue Franklin Delano Roosevelt, 75008 Paris, France","3.5","150"
"55 avenue Marceau | 55 Avenue Marceau, 75116 Paris, France","4","296"
"45 rue Saint Georges, 75009 Paris, France","4.5","658"
"5 rue Marie Stuart, 75002 Paris, France","4","214"
"9 rue du Tunnel, 75019 Paris, France","4.5","486"
"19 rue des Boulets, 75011 Paris, France","4.5","147"
"28 rue Jean Rey, 75015 Paris, France","4","1237"
"4 rue Saint Benoit, 75006 Paris, France","3.5","741"
"4 rue du Cardinal Lemoine, 75005 Paris, France","4.5","213"
"33 rue de Longchamp, 75116 Paris, France","4.5","426"
"14 rue de Paradis, 75010 Paris, France","4.5","67"
"75 rue Crozatier, 75012 Paris, France","4.5","335"
"5 rue de Reuilly, 75012 Paris, France","4","236"
"Marche Alimentaire Saint-Germain | 4 - 8 Rue Lobineau, 75006 Paris, France","4.5","249"
"2 boulevard de Denain, 75010 Paris, France","4","385"
"54 rue Corvisart, 75013 Paris, France","5","3727"
"22 rue de Douai, 75009 Paris, France","4.5","114"
"15 rue Marbeuf, 75008 Paris, France","4","140"
"96 rue Oberkampf, 75011 Paris, France","4","412"
"79 boulevard du Montparnasse, 75006 Paris, France","3","65"
"2 rue Duchefdelaville, 75013 Paris, France","4","135"
"2 rue du 4 Septembre, 75002 Paris, France","4.5","148"
"50 Rue de Clignancourt, 75018 Paris, France","4.5","3587"
"30 boulevard Haussmann, 75009 Paris, France","3","119"
"1 Jardin des Tuileries, 75001 Paris, France","2.5","199"
"33 rue Cardinet, 75017 Paris, France","5","627"
"4 rue Danielle Casanova, 75002 Paris, France","4","20"
"149 rue Montmartre, 75002 Paris, France","3","97"
"26 rue Beautreillis, 75004 Paris, France","4.5","389"
"34 rue Chevert, 75007 Paris, France","4","74"
"98 avenue des Ternes, 75017 Paris, France","3.5","94"
"10 rue de Cheroy, 75017 Paris, France","4.5","504"
"1 avenue de la Porte de Montreuil, 75020 Paris, France","4","68"
"19 Bld Edgar Quinet, 75014 Paris, France","4","298"
"Aerogare CDG 2 / Gare TGV-RER | Sheraton Paris Airport Hotel, 95716 Tremblay-En-France, France","3","95"
"13 rue Nungesser Et Coli, 75016 Paris, France","3.5","636"
"5 rue Tardieu, 75018 Paris, France","4.5","155"
"1 rue Monsigny, 75002 Paris, France","4","762"
"11 Port de Javel Bas, 75015 Paris, France","4","238"
"147 rue Saint Dominique, 75007 Paris, France","4","173"
"48 rue Mouffetard | Métro: Monge ou Cardinal Lemoine, 75005 Paris, France","4.5","354"
"16 Carrefour de l Odeon, 75006 Paris, France","3.5","1066"
"14 rue Ternaux | 1 Rue du Marche Popincourt, 75011 Paris, France","4.5","321"
"rue la Boetie, 75008 Paris, France","4.5","104"
"257 avenue Daumesnil, 75012 Paris, France","4","389"
"47 rue Saint Charles, 75015 Paris, France","3.5","191"
"22 rue de Bellechasse, 75007 Paris, France","4","56"
"85 rue du Cardinal Lemoine | rue des Rennes in this review should be rue de Rennes. Thank you for correcting, 75005 Paris, France","4.5","234"
"4 rue Caulaincourt, 75018 Paris, France","4","262"
"Disneyland Paris | La Place de Remy, 77000, Marne-la-Vallee, France","4","3756"
"16 rue Lauriston, 75116 Paris, France","4","213"
"10 rue de Parme, 75009 Paris, France","4.5","427"
"32 Rue St Maur, 75011 Paris, France","4","347"
"8 Pl Trocadero Et du 11 Novembre, 75116 Paris, France","3.5","1245"
"17 Place Dauphine, 75001 Paris, France","4","43"
"32 rue Lauriston, 75116 Paris, France","3.5","52"
"137 rue Amelot, 75011 Paris, France","4","210"
"12 rue des Capucines, 75002 Paris, France","4","104"
"84 rue Daguerre, 75014 Paris, France","4.5","128"
"15 quai de Montebello | Left bank, in front of Notre Dame's cathedral, intersection with rue Hotel Colbert, metro Notre Dame, 75005 Paris, France","4.5","160"
"73 rue Mouffetard, 75005 Paris, France","4.5","170"
"4 rue de Buci, 75006 Paris, France","4.5","189"
"49 boulevard Victor, 75015 Paris, France","3.5","442"
"62 rue d'Orsel, 75018 Paris, France","4.5","1227"
"60 rue de Courcelles, 75008 Paris, France","4","66"
"19 avenue Kleber | 19 Avenue Kleber 75116 Paris, 75116 Paris, France","4","574"
"19 avenue Kleber | 6ème Etage, 75116 Paris, France","4.5","1078"
"83 boulevard Ornano, 75018 Paris, France","3.5","644"
"3 rue de la Harpe, 75005 Paris, France","3.5","60"
